[18/02/23, 7:22:48 PM] Aditya Lucifer Bikes: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[18/02/23, 7:22:44 PM] Aditya Lucifer Bikes: Hi
[19/09/23, 3:26:36 PM] Syed: Nahi sir
[19/09/23, 3:26:38 PM] Syed: Market me hun
[19/09/23, 3:26:42 PM] Syed: Ek aur hour lagega
[19/09/23, 3:26:54 PM] Syed: Aapko urgent hai tho bhijwa dunga
[19/09/23, 3:27:06 PM] Aditya Lucifer Bikes: 5 baje se pehle de dena
[19/09/23, 3:27:13 PM] Syed: Theek hai.
[19/09/23, 3:27:14 PM] Aditya Lucifer Bikes: Kyuki uss party ki gadi nikalni hogi
[19/09/23, 3:27:16 PM] Syed: Hojayega
[19/09/23, 3:27:45 PM] Aditya Lucifer Bikes: Courier mat karna
[19/09/23, 3:27:55 PM] Aditya Lucifer Bikes: Mai bangalore aaunga
[19/09/23, 3:28:50 PM] Syed: Theek hai.
[19/09/23, 3:28:52 PM] Syed: Understood
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
‎[19/09/23, 4:37:40 PM] Syed: ‎image omitted
[25/09/23, 3:07:15 PM] Syed: Sir, 
Lucifer elante 26 SS
Raliegh helmet 2050/- mrp bdp 1250/-
Bell
Lock
Lights
Mudflaps
Bottle cage
Ninetyone bottle 
Purra 700/- ka bpd hai
[25/09/23, 3:07:53 PM] Aditya Lucifer Bikes: Accessories amount Kitna ho gaya
[25/09/23, 3:08:12 PM] Aditya Lucifer Bikes: Aaj Dal Rahe ho paisa
[25/09/23, 3:08:13 PM] Syed: 1950/- bpd.
[25/09/23, 3:08:18 PM] Syed: Nahi sir tight hai
[25/09/23, 3:08:22 PM] Syed: Is week me karta hun
[25/09/23, 3:08:33 PM] Aditya Lucifer Bikes: Bhai dekh le
[25/09/23, 3:08:44 PM] Aditya Lucifer Bikes: Total amount hai na
[25/09/23, 3:08:48 PM] Syed: Credit kotes hua nahi hai isme??
[25/09/23, 3:08:53 PM] Syed: Hanji sir
[25/09/23, 3:09:00 PM] Aditya Lucifer Bikes: Mai katwa chuka
[25/09/23, 3:09:02 PM] Syed: Karta hun sir, bahot tight hai.
[25/09/23, 3:09:04 PM] Aditya Lucifer Bikes: Don't worry
[25/09/23, 3:09:08 PM] Syed: Kal ka total sales bus 90K
[25/09/23, 3:09:19 PM] Aditya Lucifer Bikes: Dekh lo
[25/09/23, 3:09:21 PM] Syed: Market me 8 loggon me baatna hai battau😢
[25/09/23, 3:09:34 PM] Aditya Lucifer Bikes: Dekh le bhai
‎[09/10/23, 6:01:12 PM] Syed: Done sir. ‎<attached: 00000371-PHOTO-2023-10-09-18-01-13.jpg>
[12/10/23, 9:18:52 PM] Aditya Lucifer Bikes: Hi
[12/10/23, 9:19:32 PM] Aditya Lucifer Bikes: At Lucifire bikes we're more than just a brand; we're a lifestyle. We believe in Style, Quality and trust and we're passionate about making a positive impact on your life.
[12/10/23, 9:24:16 PM] Syed: Okay sir
[12/10/23, 9:24:18 PM] Syed: Noted
[12/10/23, 9:24:21 PM] Syed: Sahi baat hai
‎[12/10/23, 9:27:43 PM] Aditya Lucifer Bikes: ‎video omitted
‎[15/10/23, 3:51:49 PM] Syed: ‎<attached: 00000378-PHOTO-2023-10-15-15-51-50.jpg>
‎[15/10/23, 3:51:49 PM] Syed: ‎<attached: 00000379-PHOTO-2023-10-15-15-51-50.jpg>
‎[15/10/23, 3:51:49 PM] Syed: ‎<attached: 00000380-PHOTO-2023-10-15-15-51-50.jpg>
‎[15/10/23, 3:51:49 PM] Syed: ‎<attached: 00000381-PHOTO-2023-10-15-15-51-50.jpg>
‎[15/10/23, 3:51:49 PM] Syed: ‎<attached: 00000382-PHOTO-2023-10-15-15-51-50.jpg>
[15/10/23, 3:51:53 PM] Syed: Seat missing
[15/10/23, 3:53:12 PM] Aditya Lucifer Bikes: Done Dal diya aage
[15/10/23, 3:53:33 PM] Syed: Ok
[15/10/23, 3:53:39 PM] Syed: Credit notes ka hisaab bhejdo.
[15/10/23, 3:53:51 PM] Syed: Ek cycle ka bhi credit note issue karrado.
[15/10/23, 3:54:01 PM] Aditya Lucifer Bikes: Bhai aapka apne hissab se Bana do
[15/10/23, 3:54:11 PM] Aditya Lucifer Bikes: Aur Kitna Banta hai
[15/10/23, 3:54:14 PM] Aditya Lucifer Bikes: Wo dekh lo
[15/10/23, 3:54:22 PM] Aditya Lucifer Bikes: Aur Dal Kar Bata do
[15/10/23, 3:54:33 PM] Aditya Lucifer Bikes: Mai Kal jaunga clear karwa dunga
[15/10/23, 11:39:36 PM] Aditya Lucifer Bikes: Bhai jaan bhul mat jana
[15/10/23, 11:52:38 PM] Syed: Nahi sir
[15/10/23, 11:52:40 PM] Syed: Karradenge
[15/10/23, 11:52:58 PM] Aditya Lucifer Bikes: Payment nahi mughe mat bhul jana
[16/10/23, 12:21:11 AM] Syed: Arre kabhi nahi sir.
[16/10/23, 12:21:22 AM] Syed: Mai tho apki charcha har brand se karta hun
[16/10/23, 7:58:59 AM] Aditya Lucifer Bikes: Ja raha hu dusre me
[16/10/23, 7:59:02 AM] Aditya Lucifer Bikes: Acha haib
[16/10/23, 7:59:08 AM] Aditya Lucifer Bikes: Start up hai
[16/10/23, 7:59:27 AM] Aditya Lucifer Bikes: Magar equal hai product
[16/10/23, 9:49:38 AM] Syed: Ok
[16/10/23, 9:49:43 AM] Syed: Battau aap
[16/10/23, 9:55:15 AM] Aditya Lucifer Bikes: Jaldi hi
[16/10/23, 8:08:36 PM] Syed: Hello sir.
[16/10/23, 8:08:40 PM] Syed: Thoda apka ledger bhejna
[20/10/23, 8:32:37 PM] Syed: Sir, single speed ka 20pcs maal padda hai
[20/10/23, 8:32:40 PM] Syed: Sale hi nahi hai
[20/10/23, 8:32:43 PM] Syed: Kya Karren?
[20/10/23, 10:14:33 PM] Aditya Lucifer Bikes: Nikalo malik
[20/10/23, 10:14:40 PM] Aditya Lucifer Bikes: Aise kaise
[19/11/23, 2:56:17 PM] Syed: Hello bhai.
[19/11/23, 2:56:20 PM] Syed: Kaise hoo?
[19/11/23, 8:11:29 PM] Syed: Ledger dedo, balance clear karna hai
[09/12/23, 6:10:04 PM] Aditya Lucifer Bikes: Bhej to diya
[09/12/23, 6:11:21 PM] Syed: Haan message purana hai
[09/12/23, 6:14:23 PM] Aditya Lucifer Bikes: K
[09/12/23, 6:14:48 PM] Aditya Lucifer Bikes: But mere pass Aaj ka message show ho Raha hai
[20/12/23, 5:24:18 PM] Aditya Lucifer Bikes: Kab gaye
[20/12/23, 5:26:14 PM] Syed: Aaj subha
[20/12/23, 5:26:25 PM] Aditya Lucifer Bikes: Wapis kabki h
[20/12/23, 5:33:40 PM] Syed: Sham me
[20/12/23, 5:39:52 PM] Aditya Lucifer Bikes: Ok
‎[09/01/24, 1:19:27 PM] Syed: ‎<attached: 00000425-PHOTO-2024-01-09-13-19-28.jpg>
[19/01/24, 1:24:28 AM] Aditya Lucifer Bikes: Kya baat hai
[19/01/24, 11:41:58 AM] Syed: Ledger bhejdo sir.
[19/01/24, 11:49:05 AM] Aditya Lucifer Bikes: Ji sir
‎[07/06/24, 8:28:59 PM] Aditya Lucifer Bikes: ‎<attached: 00000429-PHOTO-2024-06-07-20-29-00.jpg>
[07/06/24, 8:29:27 PM] Syed: OK
‎[22/04/26, 2:41:08 PM] Aditya Lucifer Bikes: 26-27DL018.pdf • ‎3 pages ‎<attached: 00000431-26-27DL018.pdf>
